-35,0,0,0,-9,0,90,92,0,0,0,70,-24,0,0,0,41,97,0,-76
0,44,0,0,0,0,0,0,0,0,0,13,0,0,0,-14,0,0,0,0
0,0,0,0,0,0,0,88,0,0,0,0,-27,0,29,0,0,0,97,0
0,26,0,0,0,0,0,89,0,-40,0,0,-21,0,0,62,0,97,0,-80
0,0,0,0,0,0,0,0,0,0,0,72,0,0,30,0,0,0,0,-82
0,0,0,9,0,0,89,0,0,-49,0,0,0,36,0,0,38,0,96,0
0,23,0,0,0,0,0,0,0,0,101,63,0,0,0,0,0,0,0,0
0,20,-50,0,-10,0,0,0,0,0,0,0,0,0,24,0,0,99,0,0
0,0,0,0,0,-88,0,0,0,0,-37,16,0,0,0,0,0,0,0,0
-34,0,0,10,0,0,93,0,0,0,0,0,-26,0,0,0,0,100,0,0
0,0,0,0,0,0,0,0,-30,-87,0,0,0,0,0,-11,0,0,0,-36
0,0,-21,0,0,0,0,0,0,-90,-37,21,0,0,0,0,0,0,95,0
-37,0,0,0,0,-25,92,0,67,0,0,0,0,0,27,0,34,0,95,0
-71,51,0,0,0,0,0,0,0,0,0,0,-20,0,-56,0,0,0,0,0
-82,0,0,0,0,0,0,0,0,-87,0,0,-19,-24,0,0,0,56,93,0
0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,-30
0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,41,97,0,0
0,0,0,0,21,-94,0,51,0,0,-38,17,-19,-24,0,-13,0,0,0,0
0,0,0,4,-15,0,0,0,0,-39,0,0,0,0,32,0,0,0,98,0
0,47,-21,0,0,0,0,0,0,0,0,0,0,0,-56,-11,0,0,94,0
0,0,-43,0,0,0,93,0,0,0,96,71,0,48,0,62,0,0,0,-79
0,0,0,0,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0
0,0,0,-32,0,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
-38,0,0,14,0,0,88,0,0,0,0,67,0,43,0,57,0,0,0,0
-34,0,0,0,0,0,0,0,0,0,100,0,0,44,0,63,0,0,100,0
0,26,0,8,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79
-40,22,0,0,0,0,0,0,0,-47,94,0,0,38,23,67,0,0,0,0
-35,0,0,0,0,-20,88,0,70,0,0,0,0,0,0,63,35,0,0,0
0,18,-49,0,0,-22,91,88,0,0,0,0,0,37,0,0,36,0,98,0
0,21,-48,0,0,0,89,0,73,0,0,0,0,0,25,0,0,0,0,0
-30,0,0,0,0,-18,0,0,0,0,0,0,0,50,28,70,0,0,100,0
0,0,-23,0,0,0,0,0,-31,0,0,0,-22,0,0,0,0,0,0,-33
-75,0,0,0,0,-90,0,57,0,0,0,0,0,0,-50,-9,0,0,0,0
0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
-42,20,-50,3,0,0,87,0,0,0,0,0,0,39,0,0,0,0,93,0
0,47,-21,0,0,0,-2,0,0,-83,-40,0,0,-23,-59,-11,0,0,0,0
0,46,-22,0,0,0,0,0,0,0,-37,0,0,0,0,0,7,0,95,0
0,49,0,-27,16,0,0,0,0,-88,0,0,-22,-27,0,0,0,0,99,0
0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,-38
0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-11,0,0,92,0
0,0,-54,9,-12,0,92,0,0,0,95,0,0,40,29,59,0,0,0,0
0,0,0,0,0,0,0,0,0,-45,96,0,0,0,31,0,0,98,0,0
0,0,-47,0,-15,0,0,0,0,-46,0,0,-28,0,0,0,0,0,0,0
-37,0,0,0,0,0,95,89,0,0,0,66,0,0,0,0,0,0,0,0
0,0,0,-28,0,0,0,48,0,0,-40,0,0,0,0,0,0,0,0,-34
0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33
0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,95,97,0
0,0,0,0,-12,0,0,92,0,0,0,0,0,45,31,0,42,101,0,0
-72,0,0,0,0,0,-1,0,-33,0,0,0,0,0,-57,-15,7,0,95,0
0,0,0,0,-5,-26,0,93,0,0,104,0,0,0,0,0,34,0,0,0
-70,42,-17,0,0,0,-1,0,0,0,0,0,0,-25,0,0,0,0,0,-36
0,0,-14,0,0,0,0,56,0,0,0,20,-18,-21,0,0,0,52,0,0
-75,45,0,0,19,0,0,0,0,0,0,0,0,0,0,0,6,0,96,0
0,0,-52,8,0,0,0,0,0,0,0,63,0,46,0,60,0,0,0,0
0,0,0,11,0,-23,0,0,0,-39,0,0,-25,41,0,62,40,0,0,-80
0,0,-52,0,-15,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
0,22,-43,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84
0,0,-21,0,0,0,0,52,-26,-88,0,0,0,0,0,-13,5,0,0,0
0,45,-24,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,94,0
-37,22,0,0,0,0,94,90,0,0,0,0,-28,41,0,0,0,0,0,0
0,46,0,0,15,-94,0,0,-29,0,0,0,0,0,0,0,0,47,0,0
-78,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20,0,0,0,0,-84,0,21,-22,0,0,0,0,0,0,-33
-33,0,0,0,0,0,92,0,0,-42,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-21,0,0,0,0,95,69,0,0,0,61,0,0,93,0
0,0,0,0,0,0,0,0,72,0,0,0,-24,0,0,0,40,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-6,52,0,-39
0,0,0,0,0,-89,0,0,0,0,0,0,0,-22,0,-19,0,0,95,0
0,0,-51,0,0,0,0,0,69,0,0,0,-27,0,0,0,0,0,97,0
-74,0,0,-25,17,-91,0,55,-29,-88,0,0,0,0,0,-9,2,0,97,-31
-35,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,40,0,0,0
0,0,0,0,24,-92,1,0,0,0,-38,18,0,0,-55,0,3,53,97,0
0,0,0,0,0,-20,93,0,0,0,0,69,0,0,0,0,0,0,0,0
-32,0,0,0,0,0,0,0,0,0,94,73,-24,44,0,0,0,0,96,-79
0,0,0,10,0,0,0,89,0,-40,0,0,0,0,0,0,0,0,0,0
0,0,0,-28,0,0,0,51,0,0,0,20,0,0,0,0,1,0,98,0
0,0,0,0,0,0,-4,51,-30,0,0,0,0,0,0,0,0,0,0,0
-35,29,0,0,0,0,0,0,0,-42,0,72,-21,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-33,0,0,0,0,0,-55,0,-2,0,0,0
-37,0,0,8,0,0,0,90,0,0,98,0,-29,0,0,65,0,0,0,-81
0,0,0,0,21,-95,-1,50,0,0,-40,19,0,0,0,-14,4,50,0,-33
-71,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
-39,0,0,0,0,-20,85,0,0,0,0,0,0,0,0,0,0,0,98,0
-33,21,0,0,0,0,0,0,0,0,96,0,-23,0,0,60,0,0,99,-81
-75,0,0,0,0,0,0,0,0,0,0,0,-22,0,0,-14,0,0,0,0
-37,0,0,0,-10,0,0,0,0,-42,0,66,0,0,0,58,0,0,0,-80
-75,0,-23,0,18,0,0,0,0,-90,-47,18,0,-28,0,-18,0,0,0,0
0,0,-47,0,0,-25,0,0,0,0,0,0,0,44,0,65,0,0,99,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-27,0,0,0,0,0,0
0,0,-18,0,18,-89,0,0,0,0,0,0,0,0,-55,-11,0,0,0,0
-39,0,0,0,-13,0,0,91,0,0,0,0,0,0,0,63,0,0,0,0
